,name,username,license,tags,freesound_id,path
34,Laser Shot Big 2,bubaproducer,https://creativecommons.org/licenses/by/4.0/,"['videogame', 'shot', 'classic', 'big', 'retro', 'action', 'laser', 'shooting', 'spaceship']",151015,files/151015_1838182-hq.ogg
35,Laser Wrath 4.wav,marcuslee,http://creativecommons.org/licenses/sampling+/1.0/,"['effect', 'laser', 'one-shot', 'processed', 'reverb', 'short', 'sound-effect']",42106,files/42106_70164-hq.ogg
36,Laser01rev.wav,chipfork71,https://creativecommons.org/licenses/by/4.0/,"['alesis', 'laser', 'lasergun', 'micron', 'sci-fi', 'starwars', 'synthesizer', 'zap']",72639,files/72639_513485-hq.ogg
37,Laser04.wav,jeremysykes,http://creativecommons.org/publicdomain/zero/1.0/,"['videogame', 'laser', '8bit']",344513,files/344513_5619086-hq.ogg
38,lorenc_fx13_laser.wav,monosfera,http://creativecommons.org/publicdomain/zero/1.0/,"['sound', 'voice', 'laser', 'sfx', 'fx', 'science', 'effect', 'vocal', 'sounddesign', 'soundeffect', 'human', 'mouth', 'male', 'sf']",572278,files/572278_3625175-hq.ogg
39,Laser shot 1.mp3,DJ Burnham,http://creativecommons.org/licenses/by/3.0/,"['laser', 'sci-fi', 'shot', 'weapon']",66807,files/66807_906700-hq.ogg
40,R2D2 Sad.wav,FullMetalJedi,http://creativecommons.org/publicdomain/zero/1.0/,"['Robotic', 'R2D2', 'Sad']",339102,files/339102_6035865-hq.ogg
41,r2d2 with noise.wav,reaktorplayer,https://creativecommons.org/licenses/by-nc/4.0/,"['fast', 'noise', 'r2d2', 'sequenced']",92898,files/92898_1372117-hq.ogg
42,Robot R2D2 Droid,smokinghotdog,http://creativecommons.org/publicdomain/zero/1.0/,"['sound', 'starwars', 'droid', 'star', 'cybord', 'digital', 'robot', 'r2d2', 'wars', 'mechanical', 'data']",584917,files/584917_3115103-hq.ogg
43,Retro video game sfx - R2D2,OwlStorm,http://creativecommons.org/publicdomain/zero/1.0/,"['chipsound', 'arcade', 'robot', 'chip', 'video-game', 'r2d2', 'labchirp', 'game', 'retro', 'atari', 'star-wars', '8-bit', 'lo-fi', 'bfxr']",404759,files/404759_140737-hq.ogg
44,R2D2 Astro Droid.wav,Debsound,https://creativecommons.org/licenses/by-nc/4.0/,"['astromech', 'beep', 'speech', 'scifi', 'r2-d2', 'droid', 'ai', 'cyber', 'computer', 'technology', 'electric', 'terminal', 'space', 'tweet', 'cybernetic', 'star', 'sci-fi', 'communicate', 'robots', 'wars', 'chirp', 'robotic', 'interface', 'beeps', 'robot', 'r2d2', 'future', 'tech', 'futuristic', 'starwars']",256543,files/256543_1490240-hq.ogg
45,remix of 165821__timbre__random-sine-bleeps-1960-s-sci-fi.flac,Timbre,https://creativecommons.org/licenses/by-nc/4.0/,"['165821', 'timbre', 'random', 'R2D2', 'bleeps', 'electronic', 'computer', 'sci-fi', 'future', 'retro', 'science', 'stereotypical', 'sine']",165828,files/165828_1015240-hq.ogg
46,droid-talking-cheap-R2D2.aif,Eelke,https://creativecommons.org/licenses/by-nc/4.0/,"['cheap', 'droid', 'r2d2', 'robot', 'talking']",127014,files/127014_670687-hq.ogg
47,Small Robot P45_Tired.wav,myrararara,http://creativecommons.org/licenses/by/3.0/,"['star', 'sci-fi', 'tired', 'battery', 'science', 'space', 'robot', 'r2d2', 'wars', 'alien', 'exhausted', 'low', 'synth', 'small', 'laser', 'fiction']",412799,files/412799_5355194-hq.ogg
48,Small Robot P45_GreetHappily .wav,myrararara,http://creativecommons.org/licenses/by/3.0/,"['alien', 'star', 'sci-fi', 'space', 'battery', 'science', 'robot', 'r2d2', 'wars', 'high', 'exhausted', 'synth', 'small', 'laser', 'fiction', 'happy']",412800,files/412800_5355194-hq.ogg
49,Robot.,urupin,http://creativecommons.org/publicdomain/zero/1.0/,"['synthetic', 'voice', 'natural', 'signal', 'processing', 'robot', 'R2D2', 'mix', 'game', 'computer', 'reate', 'compound', 'mixing', 'sounding', 'synthesis', 'droid', 'cyborg', 'electronic', 'galaxy', 'space', 'android', 'spaceship', 'robotic']",199905,files/199905_2462-hq.ogg
50,Robot Chatter 2.wav,FiveBrosStopMosYT,https://creativecommons.org/licenses/by/4.0/,"['r2-d2', 'droid', 'sci', 'astromech', 'blow', 'binary', 'space', 'boop', 'fiction', 'scifi', 'star', 'sci-fi', 'bleep', 'wars', 'fi', 'chatter', 'r2', 'science', 'robot', 'r2d2', 'air', 'futuristic', 'mechanical', 'talk']",554411,files/554411_10403565-hq.ogg
51,only 4 the spectrogram #2 .flac,Timbre,https://creativecommons.org/licenses/by-nc/4.0/,"['electronic', 'FM', 'sci-fi', 'weird', 'R2D2', 'trill']",146304,files/146304_1015240-hq.ogg
52,remix 2 of 165744__peterhil__clothoid-1s-imag.flac,Timbre,https://creativecommons.org/licenses/by-nc/4.0/,"['peterhil', 'weird', 'glitchy', 'electronic', '165744', 'siren', 'ramp', 'up', 'down', 'synthesised', 'sweep', 'heterodyne', 'R2D2', '166606', 'whistle', 'sci-fi']",166608,files/166608_1015240-hq.ogg
53,small robot freakout (POS printer / stepper motor ).WAV,parabolix,https://creativecommons.org/licenses/by/4.0/,"['printer', 'stepper', 'robot', 'r2d2', 'batcave', 'computer', 'scifi', 'small', 'high-resolution', '50s']",159429,files/159429_1036771-hq.ogg
54,SW003_Robot_Voice_18_High_Register_Cute_Squeaky_14.wav,shapingwaves,https://creativecommons.org/licenses/by/4.0/,"['cute', 'Arcade', 'Computer', 'Lo-Fi', 'character', 'Robot', 'r2d2', 'voices', 'high', 'animation', 'vocals', 'Commodore', 'Robotic', 'Speech', 'voice', 'robotvoice', 'Speak']",362373,files/362373_6667285-hq.ogg
55,Wurtia Robto.wav,skytheguy,http://creativecommons.org/publicdomain/zero/1.0/,"['trash', 'laser', 'robot', 'r2d2', 'wars', 'can', 'star', 'shooting']",138383,files/138383_751022-hq.ogg
56,robot.wav,mikobuntu,https://creativecommons.org/licenses/by/4.0/,"['animation', 'bleep', 'cool', 'film', 'linux', 'nice', 'r2d2', 'robot', 'sweet', 'weird']",126286,files/126286_1428489-hq.ogg
57,Calculating.wav,freedomfightervictor,http://creativecommons.org/publicdomain/zero/1.0/,"['Frontier', 'Artificial', 'computer', 'Low-Tech', 'Foley', 'calculate', 'space', 'Artificial-Intelligence', 'R2D2', 'Filmmaker', 'Dehumanization', 'Computer-Tech', 'Power-Rangers', 'AI', 'Hal-2001-Odyssey', 'Robot', 'Star-Trek', 'Tech', 'Star-Wars', 'Hi-Tech', 'Droid', 'robot', 'Science-Fiction', 'New-World-Order', 'Technology', 'Film']",390531,files/390531_7139941-hq.ogg
58,robot_01.aif,KingSounds3D,http://creativecommons.org/publicdomain/zero/1.0/,"['turn-on', 'R2D2-style', 'robot']",442255,files/442255_9126560-hq.ogg
59,R2D2.wav,JohnLaVine333,https://creativecommons.org/licenses/by-nc/4.0/,"['cacophony', 'chatter', 'computer', 'experimental', 'experiments', 'noise', 'nonsense', 'synth']",81514,files/81514_450294-hq.ogg
