,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,key,scale,key_strength,zero_crossing_rate,f0
10,StarWars.mp3,StarWars.mp3_f10,StarWars.mp3,256000,281600,0.0024089597165584562,-672.9605,119.714874,-10.467318,12.595604,-7.266039,-8.326141,-0.42400742,-0.843935,4.4740543,-2.9451962,-6.079237,-7.404335,-11.33037,3,0,0.8283314108848572,0.07082030922174454,0.0
11,StarWars.mp3,StarWars.mp3_f11,StarWars.mp3,281600,307712,0.0021727891529307645,-681.86127,113.4491,-17.979198,15.046698,-4.48382,-1.3557014,1.1545448,-5.579172,4.0664425,-0.9294853,-5.250971,-5.1120834,-5.865391,10,1,0.8912816047668457,0.06567861884832382,702.5131
12,StarWars.mp3,StarWars.mp3_f12,StarWars.mp3,307712,334336,0.0017764735966920853,-716.67706,126.311356,-42.221226,1.483326,-13.40283,-6.6455994,-12.32283,-11.482933,-3.1619587,-1.406887,-5.1752205,3.1696854,-1.3121128,3,0,0.7764080166816711,0.06486628949642181,590.74023
13,StarWars.mp3,StarWars.mp3_f13,StarWars.mp3,334336,360960,0.002796556227482282,-672.63104,133.2438,-32.168636,5.3143616,-12.689377,-4.0168915,-14.255198,-7.4705086,-8.585863,-3.1233768,-3.7769527,0.5570049,0.78335,5,0,0.876818060874939,0.05367337912321091,440.0054
14,StarWars.mp3,StarWars.mp3_f14,StarWars.mp3,360960,387072,0.002862209490701264,-708.5488,153.68616,-34.510883,0.7767868,-8.312845,-5.5564156,-14.877071,-8.595543,-4.8978825,2.9002056,8.149384,5.7048054,3.0903702,5,0,0.9280343055725098,0.04300704598426819,0.0
15,StarWars.mp3,StarWars.mp3_f15,StarWars.mp3,387072,413696,0.001977906490747745,-721.3105,140.21753,-5.3927956,18.061558,-5.406395,-1.6930313,-7.429682,-2.1465302,-8.993023,-8.150372,-7.5676117,-3.3319626,-5.8156967,5,0,0.8452437520027161,0.04740083962678909,263.1436
16,StarWars.mp3,StarWars.mp3_f16,StarWars.mp3,413696,439808,0.0021256708046969246,-697.39825,118.70269,-34.151867,7.0732822,-10.556776,-13.360294,-16.6383,-8.391712,-6.606386,-1.6439171,-2.2667122,-4.911312,-0.9399624,10,0,0.9063112735748291,0.07176776975393295,468.87015
17,StarWars.mp3,StarWars.mp3_f17,StarWars.mp3,439808,465920,0.002030953472735835,-705.4094,134.98587,-35.318195,9.974758,-9.65114,0.7669754,-8.707685,-6.559326,-12.344896,-4.910717,-6.0375004,-6.783453,-0.09929657,2,1,0.6570015549659729,0.06008731573820114,466.16965
18,StarWars.mp3,StarWars.mp3_f18,StarWars.mp3,465920,491520,0.0019218872487545013,-711.2203,108.1855,-25.14637,17.646612,-6.9047337,0.64468384,-16.999403,-9.451366,1.6735096,3.1515408,-5.074135,-8.940849,-8.644888,5,0,0.6846637725830078,0.07382812350988388,702.5131
19,StarWars.mp3,StarWars.mp3_f19,StarWars.mp3,491520,517120,0.0023614704608917237,-705.991,141.68878,-25.12091,18.920986,-3.8400078,0.4742775,-8.985027,-6.1109047,-6.081579,3.7297268,-4.224079,-6.4477634,-5.8888054,10,0,0.8461179137229919,0.05562499910593033,0.0
