,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,key,scale,key_strength,zero_crossing_rate,f0
14,115591,115591_f14,files/115591_1015240-hq.ogg,360960,387072,0.0026659124037798714,-858.6678,146.31296,-47.10796,45.668434,62.518185,17.655775,43.32709,15.549223,26.27409,20.624557,9.647083,15.119759,12.80825,0,1,0.6509105563163757,0.01248468179255724,76.445656
15,115591,115591_f15,files/115591_1015240-hq.ogg,387072,413696,9.623703618462269e-05,-1201.6947,63.27962,29.676357,38.82025,59.9495,50.479347,29.235909,25.498013,28.072495,21.418575,14.805092,15.7520485,15.187691,3,0,0.6833118796348572,0.003981370013207197,76.8885
16,517746,517746_f0,files/517746_9996727-hq.ogg,0,25088,0.0022966261116825802,-900.05524,131.14877,-6.390747,39.211494,-27.457333,56.352272,14.428383,4.209198,-16.786491,-63.314117,-48.504093,-18.816994,-9.182362,2,1,0.48226454854011536,0.1286272257566452,109.36689
17,517746,517746_f1,files/517746_9996727-hq.ogg,25088,50176,0.0015515134650833753,-940.75275,192.18866,8.62146,-5.710396,-17.002384,34.35678,0.9206848,14.064896,-21.828663,-32.354546,-25.696724,-16.041058,5.4907837,9,0,0.6563818454742432,0.023477360606193542,109.36689
18,517746,517746_f2,files/517746_9996727-hq.ogg,50176,75776,7.437233813107014e-05,-1226.2662,49.25252,36.38171,22.92096,13.1533165,5.7869644,-3.084015,-14.506111,-24.56366,-27.789856,-22.44149,-12.210354,-2.830616,7,0,0.4421071410179138,0.07386718690395355,293.66766
19,517746,517746_f3,files/517746_9996727-hq.ogg,75776,101888,0.0038486923657211603,-776.12305,223.60153,-6.7389297,11.225433,-22.631687,30.994835,4.146858,14.490669,-11.351463,-41.158676,-13.325764,5.090992,7.8462334,0,1,0.48376187682151794,0.019186580553650856,100.289825
20,557194,557194_f0,files/557194_6737463-hq.ogg,0,25088,0.0007540164705441923,-865.78467,15.797867,-99.61279,148.02943,31.666283,60.170177,16.58094,23.16806,7.9004784,1.7624588,1.902401,4.203701,3.3902016,5,0,0.756406307220459,0.12655453383922577,702.5131
21,557194,557194_f1,files/557194_6737463-hq.ogg,25088,50176,6.452175712555039e-05,-1056.268,41.98331,-87.27209,59.24193,46.59765,52.30076,47.899803,17.88647,22.697815,6.436764,13.701744,9.815166,2.6501923,7,0,0.45207810401916504,0.0890066996216774,0.0
22,557194,557194_f2,files/557194_6737463-hq.ogg,50176,75776,2.09429970709607e-06,-1249.9429,21.063309,20.748287,20.2305,19.520199,18.631943,17.583023,16.394314,15.0886345,13.690685,12.226173,10.72134,9.202148,2,1,0.6879666447639465,0.0068359375,72.99347
23,47126,47126_f0,files/47126_383523-hq.ogg,0,25088,0.006960759965740904,-763.77966,298.6688,-129.60878,7.046753,63.34144,-51.77581,14.20372,41.197346,-24.65586,14.292301,24.85936,-15.244747,17.266014,5,1,0.6823468208312988,0.04998405650258064,0.0
24,47123,47123_f0,files/47123_383523-hq.ogg,0,25088,0.015034777777535575,-752.2086,300.05713,-138.78928,15.282227,80.255196,-46.804665,13.847565,44.696697,-22.081085,12.90369,21.845207,-16.75497,21.063873,5,1,0.6131393313407898,0.030652103945612907,0.0
25,47124,47124_f0,files/47124_383523-hq.ogg,0,25088,0.0065044316710258015,-1076.5957,210.17923,102.14105,40.125534,38.17669,40.563957,20.43251,2.3302383,3.169323,8.373486,6.6939926,6.077839,10.675652,5,1,0.5360448956489563,0.002471301006153226,0.0
26,47127,47127_f0,files/47127_383523-hq.ogg,0,25088,0.004565520554172749,-1084.237,200.96692,96.16467,36.54901,35.948875,40.053963,21.900314,4.2108994,3.5935326,7.6726646,6.7375565,7.5430336,12.407303,5,1,0.6253232359886169,0.0023118623066693544,0.0
